path,size_bytes,lines,extension,language,category,binary,sha256,encoding,tracked,week,day,exercise_root,exercise_kind,tier,is_test,is_readme,todo_count,trailing_whitespace_lines,mixed_line_endings,syntax_ok,syntax_error
.eslintignore,171,7,[no extension],Other,configuration,False,b4f0cc8be479e3a11f7f3b87b295d320f118ee908d154cf21f097ad173ba2a2d,utf-8-sig,True,,,,,,False,False,0,0,False,,
.eslintrc.cjs,1246,51,.cjs,JavaScript,source,False,8570247e6f5072bffe43e1e3c868ef0a20583945254b1dbd02a33de0159761bf,utf-8-sig,True,,,,,,False,False,0,0,False,,
.gitattributes,698,46,[no extension],Other,configuration,False,1626b4dbc36ef2e344315ecf2a3eb783d66feb04057a85990689b3ffc49a5a56,utf-8-sig,True,,,,,,False,False,0,0,False,,
.gitignore,1013,72,[no extension],Other,configuration,False,1a60b5d1eaac46ff8e0963b733df22a26cb2c5a856993ef434730b06da6e5a2c,utf-8-sig,True,,,,,,False,False,0,0,False,,
.prettierignore,171,7,[no extension],Other,configuration,False,b4f0cc8be479e3a11f7f3b87b295d320f118ee908d154cf21f097ad173ba2a2d,utf-8-sig,True,,,,,,False,False,0,0,False,,
.prettierrc.json,228,12,.json,JSON,data,False,b9174f43f5c55f0579e7b7957661585c47bca33b27c6094a22f07ed3cf76af1d,utf-8-sig,True,,,,,,False,False,0,0,False,True,
assets/readme/learning-orbit.svg,4366,77,.svg,SVG,other,False,d4531dc1ed2d52046ef76eafa73e5de1dc5d2b1c7fd55578fd2cc00901769b01,utf-8-sig,True,,,,,,False,False,0,0,False,,
assets/readme/nova-fullstack-banner.svg,3961,71,.svg,SVG,other,False,9ce38157e7d127a0178bf88aefedbf1fbe6e3bcfc9ec1d1e8e6c7323def4866c,utf-8-sig,True,,,,,,False,False,0,0,False,,
assets/readme/stack-pulse.svg,2318,46,.svg,SVG,other,False,dd8f2aed08b69c730a22715e1d6c275a2ee31b25c495a03b72dbc191d3181206,utf-8-sig,True,,,,,,False,False,0,0,False,,
LICENSE,1070,21,[no extension],Other,other,False,1b8bbd21c2bbce202a365de93132595a8060e7d478fd3c8d1fecaddf205e82ad,utf-8-sig,True,,,,,,False,False,0,0,False,,
package.json,677,22,.json,JSON,data,False,56fa301a320b4e86edf70dadec7c734ad4c211a157a732afc8353ce457dbcbc7,utf-8-sig,True,,,,,,False,False,0,0,False,True,
README.md,19206,443,.md,Markdown,documentation,False,8c40a339fd9cdf8cf7401d57556be06e71ed8a295448ae79ed99f64b4c9e5328,utf-8-sig,True,,,,,,False,True,0,0,False,,
